size,time,flops,add,mul
597,0.494116,258985270,166842758,92142512
598,0.496982,260600454,167654230,92946224
599,0.502286,262748471,168727640,94020831
600,0.495654,261944855,168400180,93544675
601,0.502645,264107256,169480780,94626476
602,0.503623,265744080,170303098,95440982
603,0.509074,267920913,171390912,96530001
604,0.510435,268648902,171774628,96874274
605,0.516366,270840215,172869680,97970535
606,0.515788,272498823,173702916,98795907
607,0.525540,274704664,174805230,99899434
608,0.505541,267769664,172272290,95497374
609,0.507812,269990081,173381890,96608191
610,0.513832,271670617,174226116,97444501
611,0.522380,273905658,175343026,98562632
612,0.517790,274652471,175736416,98916055
613,0.528195,276902184,176860660,100041524
614,0.535117,278604792,177715948,100888844
615,0.538381,280869225,178847550,102021675
616,0.539006,280017409,178497984,101519425
617,0.538104,282296610,179636968,102659642
618,0.547658,284021434,180503390,103518044
619,0.545697,286315451,181649780,104665671
620,0.620316,287081328,182052964,105028364
621,0.572204,289390209,183206784,106183425
622,0.561064,291137393,184084412,107052981
623,0.568257,293461186,185245686,108215500
624,0.559650,289930271,183755650,106174621
625,0.563055,292269024,184924402,107344622
626,0.566153,294038712,185813308,108225404
627,0.570305,296392473,186989562,109402911
628,0.572246,297177654,187402660,109774994
629,0.576933,299546471,188586440,110960031
630,0.577004,301338807,189486696,111852111
631,0.580717,303722728,190678026,113044702
632,0.583218,302821320,190305658,112515662
633,0.589656,305220393,191504562,113715831
634,0.585040,307035521,192416240,114619281
635,0.596542,309449794,193622742,115827052
636,0.595096,310254519,194045874,116208645
637,0.607947,312684040,195259998,117424042
638,0.605860,314522104,196183170,118338934
639,0.684366,316966921,197404940,119561981
640,0.570566,306371025,203428150,102942875
641,0.571045,308831186,204657590,104173596
642,0.578168,310692330,205592328,105100002
643,0.584917,313167883,206829462,106338421
644,0.584770,313992392,207262748,106729644
645,0.590846,316483385,208507600,107975785
646,0.592487,318367753,209453976,108913777
647,0.603479,320874234,210706570,110167664
648,0.602508,319921842,210310704,109611138
649,0.602472,322443859,211571064,110872795
650,0.605590,324351595,212529150,111822445
651,0.615357,326889196,213797300,113091896
652,0.616381,327733729,214240860,113492869
653,0.619136,330286962,215516824,114770138
654,0.626744,332218210,216486692,115731518
655,0.637457,334787123,217770494,117016629
656,0.617718,330849656,216091460,114758196
657,0.627223,333434297,217383124,116051173
658,0.629884,335389201,218364846,117024355
659,0.634521,337989618,219664396,118325222
660,0.642000,338854415,220118350,118736065
661,0.647942,341470656,221425810,120044846
662,0.647901,343449360,222419458,121029902
663,0.660194,346081473,223734852,122346621
664,0.656093,345076705,223314792,121761913
665,0.727070,347724738,224638144,123086594
666,0.672498,349727386,225643790,124083596
667,0.675330,352391387,226975124,125416263
668,0.676308,353276688,227439592,125837096
669,0.746812,355956705,228778932,127177773
670,0.698182,357983441,229796648,128186793
671,0.692646,360679522,231144018,129535504
672,0.666706,351951810,227815308,124136502
673,0.673479,354664003,229170732,125493271
674,0.677450,356714971,230200590,126514381
675,0.679490,359443324,231564092,127879232
676,0.677283,360349369,232039194,128310175
677,0.685064,363093930,233410798,129683132
678,0.699841,365169274,234452870,130716404
679,0.710042,367930091,235832600,132097491
680,0.701688,366871555,235387650,131483905
681,0.707101,369648676,236775530,132873146
682,0.712623,371748540,237829888,133918652
683,0.717848,374542013,239225942,135316071
684,0.715624,375469042,239711798,135757244
685,0.725664,378278915,241116050,137162865
686,0.735316,380403443,242182766,138220677
687,0.736324,383229764,243595240,139634524
688,0.719655,378863713,241716192,137147521
689,0.728441,381706530,243136912,138569618
690,0.728263,383855866,244216058,139639808
691,0.737293,386715227,245645048,141070179
692,0.740473,387663480,246141778,141521702
693,0.749174,390539433,247579062,142960371
694,0.751738,392713721,248670710,144043011
695,0.766380,395606314,250116312,145490002
696,0.754245,394492618,249645776,144846842
697,0.811153,397401899,251099720,146302179
698,0.770957,399601283,252203942,147397341
699,0.775002,402527300,253666252,148861048
700,0.777497,403497017,254173976,149323041
701,0.785479,406439818,255644676,150795142
702,0.792576,408664442,256761544,151902898
703,0.792865,411624075,258240658,153383417
704,0.749012,396091712,254207018,141884694
705,0.763420,399068225,255694570,143373655
706,0.829454,401318233,256824156,144494077
707,0.773115,404311674,258320170,145991504
708,0.771132,405303095,258839008,146464087
709,0.779660,408313512,260343508,147970004
710,0.784397,410589048,261485884,149103164
711,0.788034,413616489,262998894,150617595
712,0.785581,412446241,262502076,149944165
713,0.786225,415490754,264023620,151467134
714,0.796604,417791962,265178858,152613104
715,0.805711,420853595,266708960,154144635
716,0.803883,421866960,267239032,154627928
717,0.814198,424945761,268777716,156168045
718,0.821177,427272785,269945888,157326897
719,0.825432,430368802,271493178,158875624
720,0.810625,425552135,269403100,156149035
721,0.818319,428665416,270959020,157706396
722,0.828436,431018400,272140198,158878202
723,0.851870,434148993,273704772,160444221
724,0.830848,435184542,274246198,160938344
725,0.836174,438332495,275819450,162513045
726,0.843275,440711583,277013706,163697877
727,0.854402,443876944,278595660,165281284
728,0.845683,442648752,278071864,164576888
729,0.860251,445831569,279662544,166169025
730,0.858851,448236905,280869950,167366955
731,0.872915,451437226,282469380,168967846
732,0.876113,452495199,283022280,169472919
733,0.877429,455713072,284630484,171082588
734,0.883151,458144800,285851112,172293688
735,0.889713,461380273,287468114,173912159
736,0.863851,450656473,283241946,167414527
737,0.864832,453909594,284867770,169041824
738,0.879839,456367858,286101692,170266166
739,0.884017,459638675,287736362,171902313
740,0.887555,460719312,288300856,172418456
741,0.896381,464007873,289944396,174063477
742,0.901771,466492817,291191684,175301133
743,0.970517,469799170,292844118,176955052
744,0.915757,468511642,292292648,176218994
745,0.913347,471835835,293954000,177881835
746,0.921944,474347603,295214726,179132877
747,0.925704,477689684,296885020,180804664
748,0.926732,478793225,297461228,181331997
749,0.932006,482153242,299140488,183012754
750,0.937143,484691978,300414724,184277254
